date,station_id,users_count
2023-01-01,4497.09,13
2023-01-01,4500.07,6
2023-01-01,4507.07,9
2023-01-01,4510.04,22
2023-01-01,4513.06,15
2023-01-01,4513.09,14
2023-01-01,4517.03,6
2023-01-01,4519.02,25
2023-01-01,4519.04,20
2023-01-01,4522.07,18
2023-01-01,4526.01,20
2023-01-01,4528.01,38
2023-01-01,4531.05,27
2023-01-01,4543.07,5
2023-01-01,4546.04,17
2023-01-01,4550.05,7
2023-01-01,4553.04,33
2023-01-01,4556.08,17
2023-01-01,4560.01,9
2023-01-01,4565.07,16
2023-01-01,4568.01,7
2023-01-01,4576.11,18
2023-01-01,4587.02,12
2023-01-01,4591.04,19
2023-01-01,4596.05,11
2023-01-01,4596.09,36
2023-01-01,4605.04,17
2023-01-01,4608.01,7
2023-01-01,4611.03,30
2023-01-01,4614.04,47
2023-01-01,4617.01,17
2023-01-01,4620.02,27
2023-01-01,4623.02,5
2023-01-01,4628.05,10
2023-01-01,4628.07,24
2023-01-01,4632.1,2
2023-01-01,4634.02,18
2023-01-01,4637.06,33
2023-01-01,4640.01,11
2023-01-01,4645.04,14
2023-01-01,4645.09,24
2023-01-01,4648.03,8
2023-01-01,4651.02,42
2023-01-01,4654.01,10
2023-01-01,4656.03,12
2023-01-01,4659.02,15
2023-01-01,4663.02,9
2023-01-01,4663.06,7
2023-01-01,4665.02,26
2023-01-01,4677.01,22
2023-01-01,4677.06,18
2023-01-01,4680.05,8
2023-01-01,4683.02,50
2023-01-01,4689.03,19
2023-01-01,4689.08,6
2023-01-01,4692.01,12
2023-01-01,4697.01,11
2023-01-01,4700.06,9
2023-01-01,4707.03,19
2023-01-01,4707.04,9
2023-01-01,4710.06,25
2023-01-01,4713.01,6
2023-01-01,4715.01,14
2023-01-01,4718.08,13
2023-01-01,4721.01,8
2023-01-01,4724.03,10
2023-01-01,4729.01,13
2023-01-01,4732.04,9
2023-01-01,4735.03,12
2023-01-01,4743.04,7
2023-01-01,4748.07,13
2023-01-01,4751.01,13
2023-01-01,4756.04,31
2023-01-01,4759.02,19
2023-01-01,4762.04,18
2023-01-01,4762.05,7
2023-01-01,4768.02,13
2023-01-01,4781.03,10
2023-01-01,4781.05,13
2023-01-01,4784.02,18
2023-01-01,4789.03,25
2023-01-01,4792.03,20
2023-01-01,4798.02,12
2023-01-01,4801.04,25
2023-01-01,4804.02,2
2023-01-01,4807.02,2
2023-01-01,4812.02,11
2023-01-01,4812.04,9
2023-01-01,4816.02,5
2023-01-01,4818.03,9
2023-01-01,4821.03,36
2023-01-01,4821.06,33
2023-01-01,4821.1,14
2023-01-01,4824.03,15
2023-01-01,4829.01,15
2023-01-01,4832.07,16
2023-01-01,4837.03,6
2023-01-01,4840.06,14
2023-01-01,4843.01,3
2023-01-01,4847.03,17
2023-01-01,4853.06,8
2023-01-01,4856.05,14
2023-01-01,4861.05,26
2023-01-01,4864.09,18
2023-01-01,4873.08,17
2023-01-01,4880.11,13
2023-01-01,4883.03,7
2023-01-01,4889.06,28
2023-01-01,4895.03,38
2023-01-01,4895.09,14
2023-01-01,4903.08,55
2023-01-01,4903.09,32
2023-01-01,4906.07,11
2023-01-01,4927.04,16
2023-01-01,4931.05,26
2023-01-01,4936.21,35
2023-01-01,4939.07,33
2023-01-01,4953.04,34
2023-01-01,4954.07,6
2023-01-01,4956.02,4
2023-01-01,4962.01,29
2023-01-01,4962.08,26
2023-01-01,4963.13,9
2023-01-01,4965.01,15
2023-01-01,4968.03,15
2023-01-01,4971.01,9
2023-01-01,4979.07,7
2023-01-01,4993.02,35
2023-01-01,4993.13,20
2023-01-01,4993.15,12
2023-01-01,4994.1,6
2023-01-01,4996.08,19
2023-01-01,5004.02,21
2023-01-01,5010.02,14
2023-01-01,5018.06,8
2023-01-01,5021.05,36
2023-01-01,5024.1,37
2023-01-01,5025.02,16
2023-01-01,5027.02,12
2023-01-01,5033.01,20
2023-01-01,5034.03,5
2023-01-01,5036.06,14
2023-01-01,5043.06,10
2023-01-01,5045.05,32
2023-01-01,5051.01,35
2023-01-01,5051.02,19
2023-01-01,5059.02,28
2023-01-01,5065.04,38
2023-01-01,5065.1,18
2023-01-01,5065.12,44
2023-01-01,5065.14,38
2023-01-01,5066.03,5
2023-01-01,5068.02,21
2023-01-01,5073.07,11
2023-01-01,5074.08,10
2023-01-01,5082.08,12
2023-01-01,5084.03,7
2023-01-01,5093.01,15
2023-01-01,5096.12,26
2023-01-01,5099.02,28
2023-01-01,5105.01,25
2023-01-01,5106.04,10
2023-01-01,5108.01,36
2023-01-01,5114.06,40
2023-01-01,5115.01,3
2023-01-01,5115.05,5
2023-01-01,5117.05,33
2023-01-01,5125.03,86
2023-01-01,5125.07,31
2023-01-01,5128.04,17
2023-01-01,5137.1,37
2023-01-01,5137.11,22
2023-01-01,5137.13,12
2023-01-01,5140.06,8
2023-01-01,5145.02,35
2023-01-01,5146.03,6
2023-01-01,5148.03,15
2023-01-01,5156.05,30
2023-01-01,5159.04,26
2023-01-01,5159.07,27
2023-01-01,5164.05,43
2023-01-01,5167.06,14
2023-01-01,5170.01,20
2023-01-01,5175.08,28
2023-01-01,5178.06,23
2023-01-01,5181.04,26
2023-01-01,5184.08,96
2023-01-01,5187.03,36
2023-01-01,5190.07,18
2023-01-01,5190.09,37
2023-01-01,5198.04,20
2023-01-01,5204.05,71
2023-01-01,5207.01,84
2023-01-01,5210.01,5
2023-01-01,5216.04,6
2023-01-01,5216.06,47
2023-01-01,5225.02,14
2023-01-01,5230.02,26
2023-01-01,5235.05,50
2023-01-01,5238.05,50
2023-01-01,5241.02,2
2023-01-01,5247.1,21
2023-01-01,5250.05,21
2023-01-01,5259.06,17
2023-01-01,5262.09,30
2023-01-01,5267.09,20
2023-01-01,5270.05,52
2023-01-01,5270.07,49
2023-01-01,5270.08,63
2023-01-01,5270.09,38
2023-01-01,5279.03,20
2023-01-01,5282.02,17
2023-01-01,5288.08,20
2023-01-01,5288.09,25
2023-01-01,5288.12,60
2023-01-01,5291.05,53
2023-01-01,5294.04,56
2023-01-01,5297.02,67
2023-01-01,5300.05,26
2023-01-01,5300.06,18
2023-01-01,5303.06,72
2023-01-01,5303.08,59
2023-01-01,5308.04,44
2023-01-01,5323.06,13
2023-01-01,5326.06,19
2023-01-01,5329.03,110
2023-01-01,5332.1,11
2023-01-01,5335.03,20
2023-01-01,5335.07,45
2023-01-01,5342.1,32
2023-01-01,5343.11,21
2023-01-01,5348.02,56
2023-01-01,5351.03,36
2023-01-01,5351.07,18
2023-01-01,5359.1,28
2023-01-01,5359.11,31
2023-01-01,5359.12,15
2023-01-01,5359.13,11
2023-01-01,5365.02,30
2023-01-01,5368.03,23
2023-01-01,5374.01,65
2023-01-01,5379.09,59
2023-01-01,5379.1,40
2023-01-01,5382.06,91
2023-01-01,5382.07,68
2023-01-01,5391.06,25
2023-01-01,5400.05,12
2023-01-01,5403.04,14
2023-01-01,5403.05,7
2023-01-01,5406.02,34
2023-01-01,5406.04,25
2023-01-01,5411.07,19
2023-01-01,5411.08,34
2023-01-01,5414.06,44
2023-01-01,5414.07,15
2023-01-01,5422.04,25
2023-01-01,5430.08,16
2023-01-01,5430.1,13
2023-01-01,5433.03,12
2023-01-01,5436.09,17
2023-01-01,5442.05,9
2023-01-01,5442.09,11
2023-01-01,5445.02,65
2023-01-01,5445.07,26
2023-01-01,5450.04,50
2023-01-01,5453.05,20
2023-01-01,5453.06,35
2023-01-01,5470.02,16
2023-01-01,5470.1,10
2023-01-01,5470.12,36
2023-01-01,5473.03,8
2023-01-01,5476.03,26
2023-01-01,5481.04,26
2023-01-01,5484.09,90
2023-01-01,5489.03,72
2023-01-01,5489.04,24
2023-01-01,5492.05,63
2023-01-01,5500.02,20
2023-01-01,5500.07,29
2023-01-01,5503.01,8
2023-01-01,5506.1,13
2023-01-01,5506.14,37
2023-01-01,5509.02,7
2023-01-01,5515.02,31
2023-01-01,5515.08,20
2023-01-01,5520.09,29
2023-01-01,5523.02,54
2023-01-01,5532.01,33
2023-01-01,5539.06,10
2023-01-01,5542.04,13
2023-01-01,5545.01,31
2023-01-01,5545.04,25
2023-01-01,5550.05,39
2023-01-01,5550.09,28
2023-01-01,5553.03,37
2023-01-01,5553.1,53
2023-01-01,5561.04,42
2023-01-01,5569.06,23
2023-01-01,5569.07,19
2023-01-01,5575.08,8
2023-01-01,5575.13,13
2023-01-01,5578.02,27
2023-01-01,5581.01,27
2023-01-01,5584.04,45
2023-01-01,5584.05,37
2023-01-01,5593.01,74
2023-01-01,5593.04,56
2023-01-01,5602.06,26
2023-01-01,5610.09,32
2023-01-01,5613.04,26
2023-01-01,5616.01,36
2023-01-01,5616.08,31
2023-01-01,5623.03,10
2023-01-01,5626.06,48
2023-01-01,5626.07,38
2023-01-01,5626.13,49
2023-01-01,5626.15,72
2023-01-01,5633.04,20
2023-01-01,5636.13,46
2023-01-01,5644.05,32
2023-01-01,5653.12,25
2023-01-01,5659.05,64
2023-01-01,5659.11,39
2023-01-01,5666.04,42
2023-01-01,5669.1,62
2023-01-01,5669.12,24
2023-01-01,5679.05,17
2023-01-01,5679.08,52
2023-01-01,5687.04,39
2023-01-01,5687.11,31
2023-01-01,5703.13,54
2023-01-01,5709.03,12
2023-01-01,5712.03,48
2023-01-01,5721.01,44
2023-01-01,5721.07,56
2023-01-01,5721.14,42
2023-01-01,5736.09,45
2023-01-01,5743.02,9
2023-01-01,5746.02,48
2023-01-01,5746.14,21
2023-01-01,5752.07,43
2023-01-01,5755.01,36
2023-01-01,5755.14,29
2023-01-01,5772.05,8
2023-01-01,5779.08,58
2023-01-01,5779.09,28
2023-01-01,5779.1,61
2023-01-01,5779.11,44
2023-01-01,5785.05,14
2023-01-01,5785.1,5
2023-01-01,5788.12,17
2023-01-01,5788.13,34
2023-01-01,5788.15,62
2023-01-01,5788.16,54
2023-01-01,5794.05,20
2023-01-01,5797.01,44
2023-01-01,5805.05,41
2023-01-01,5805.07,68
2023-01-01,5820.08,66
2023-01-01,5826.02,19
2023-01-01,5838.09,58
2023-01-01,5847.01,33
2023-01-01,5847.06,38
2023-01-01,5847.08,15
2023-01-01,5854.09,55
2023-01-01,5860.02,12
2023-01-01,5863.07,27
2023-01-01,5869.04,15
2023-01-01,5872.1,21
2023-01-01,5880.02,42
2023-01-01,5886.13,68
2023-01-01,5896.01,27
2023-01-01,5905.14,104
2023-01-01,5914.03,40
2023-01-01,5922.04,29
2023-01-01,5922.07,31
2023-01-01,5922.08,20
2023-01-01,5929.01,34
2023-01-01,5938.01,33
2023-01-01,5938.11,35
2023-01-01,5944.01,41
2023-01-01,5947.04,45
2023-01-01,5955.12,46
2023-01-01,5964.01,15
2023-01-01,5971.08,46
2023-01-01,5971.09,48
2023-01-01,5977.01,27
2023-01-01,5983.04,7
2023-01-01,5989.02,46
2023-01-01,5997.1,23
2023-01-01,6004.06,27
2023-01-01,6004.07,36
2023-01-01,6013.12,46
2023-01-01,6022.04,42
2023-01-01,6030.04,34
2023-01-01,6030.06,36
2023-01-01,6039.06,56
2023-01-01,6046.02,65
2023-01-01,6055.08,48
2023-01-01,6058.08,10
2023-01-01,6064.08,19
2023-01-01,6067.01,3
2023-01-01,6072.06,45
2023-01-01,6072.11,78
2023-01-01,6072.14,20
2023-01-01,6079.03,37
2023-01-01,6089.07,46
2023-01-01,6089.08,23
